Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
42, 0, 42, 708, 1967, 1944, 1967, 569
14, 16, 158, 288, 2531, 2347, 2515, 230
11, 41, 131, 328, 2975, 2835, 2934, 261
39, 43, 8, 220, 849, 763, 806, 179
36, 50, 168, 368, 3210, 3104, 3160, 295
17, 55, 162, 408, 3212, 3073, 3157, 325
5, 58, 168, 80, 2434, 2301, 2376, 64
10, 67, 99, 568, 2630, 2388, 2563, 454
37, 68, 65, 448, 2276, 2028, 2208, 356
12, 73, 56, 160, 1139, 904, 1066, 129
13, 83, 84, 648, 2634, 2430, 2551, 515
49, 87, 139, 952, 3107, 2991, 3020, 752
16, 92, 180, 829, 3247, 3132, 3155, 665
31, 94, 94, 1012, 2768, 2522, 2674, 799
5, 107, 125, 40, 1705, 1530, 1598, 30
15, 114, 175, 528, 3227, 3045, 3113, 421
36, 127, 64, 869, 2050, 1875, 1923, 693
18, 133, 121, 929, 3088, 2789, 2955, 745
33, 137, 157, 992, 2754, 2499, 2617, 786
2, 139, 23, 468, 1302, 1069, 1163, 374
11, 148, 155, 668, 3182, 2877, 3034, 531
47, 163, 47, 248, 1376, 1149, 1213, 198
20, 164, 23, 348, 1199, 970, 1035, 280
11, 167, 43, 748, 1990, 1739, 1823, 601
41, 169, 62, 228, 2155, 1978, 1986, 185
27, 176, 48, 100, 1310, 935, 1134, 80
27, 180, 103, 849, 2434, 2192, 2254, 680
28, 184, 166, 0, 1745, 1525, 1561, 0
19, 200, 29, 608, 1376, 1121, 1176, 485
21, 213, 152, 140, 3067, 2721, 2854, 117
24, 216, 116, 809, 2904, 2641, 2688, 646
24, 236, 68, 428, 2271, 1896, 2035, 341
29, 244, 16, 768, 784, 386, 540, 615

Average Turnaround Time, 0
Average Waiting Time, 0
Average Response Time, 0
