Process ID, Arrival Time, Burst Length, Start Time, Finish Time, Wait Time, Turnaround Time, Response Time
2, 139, 23, 3331, 3373, 3211, 3234, 3192
5, 107, 125, 1988, 2194, 1962, 2087, 1930
10, 67, 99, 557, 688, 522, 621, 490
11, 167, 43, 1347, 3647, 3437, 3480, 1306
12, 73, 56, 1618, 1786, 1657, 1713, 1545
13, 83, 84, 2915, 3077, 2910, 2994, 2832
14, 16, 158, 1076, 1786, 1612, 1770, 1039
15, 114, 175, 3232, 3331, 3042, 3217, 3118
16, 92, 180, 1011, 1076, 804, 984, 919
17, 55, 162, 1786, 1988, 1771, 1933, 1755
18, 133, 121, 1904, 1988, 1734, 1855, 1771
19, 200, 29, 2393, 2532, 2303, 2332, 2193
20, 164, 23, 3373, 3553, 3366, 3389, 3209
21, 213, 152, 3553, 3647, 3282, 3434, 3340
24, 216, 116, 688, 3647, 3315, 3431, 678
25, 107, 68, 836, 1011, 836, 904, 729
27, 180, 103, 2653, 3373, 3090, 3193, 2477
28, 184, 166, 2532, 2653, 2303, 2469, 2348
29, 206, 118, 400, 3373, 3049, 3167, 156
31, 94, 94, 2717, 2740, 2552, 2646, 2623
33, 137, 157, 3077, 3232, 2938, 3095, 2940
36, 127, 64, 2346, 3232, 3041, 3105, 2296
37, 68, 65, 813, 1618, 1485, 1550, 622
38, 147, 84, 2872, 2915, 2684, 2768, 2725
39, 43, 8, 1842, 1904, 1853, 1861, 1799
40, 20, 199, 2146, 2194, 1975, 2174, 2126
41, 226, 153, 1244, 3553, 3174, 3327, 1075
42, 0, 42, 1423, 1904, 1862, 1904, 1408
44, 123, 55, 1589, 2393, 2215, 2270, 1427
46, 23, 133, 2194, 2346, 2190, 2323, 2171
47, 163, 47, 2740, 2856, 2646, 2693, 2577
49, 87, 139, 1355, 1423, 1197, 1336, 1268
50, 153, 154, 2856, 2872, 2565, 2719, 2703

Average Turnaround Time, 2191
Average Waiting Time, 1531
Average Response Time, 1255
